Date,Time,time_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
9/12/2017,22:12:22,42990.93,0.056,0.056,0.061,0.047,0.068,0.053,0.072,0.04,0.087,0.057,0.045,0.064,0.059,0.056,0.074
9/12/2017,22:32:22,42990.94,0.056,0.056,0.061,0.047,0.068,0.053,0.072,0.04,0.087,0.057,0.046,0.064,0.06,0.056,0.074
9/12/2017,22:52:22,42990.95,0.056,0.056,0.061,0.047,0.068,0.053,0.072,0.04,0.087,0.057,0.046,0.065,0.06,0.056,0.074
9/12/2017,23:12:22,42990.97,0.056,0.056,0.061,0.047,0.068,0.053,0.072,0.04,0.087,0.057,0.046,0.065,0.06,0.056,0.075
9/12/2017,23:32:22,42990.98,0.056,0.056,0.061,0.048,0.068,0.053,0.072,0.04,0.087,0.057,0.046,0.065,0.06,0.056,0.075
9/12/2017,23:52:22,42990.99,0.056,0.055,0.06,0.047,0.069,0.053,0.072,0.04,0.087,0.057,0.045,0.065,0.06,0.056,0.075
9/13/2017,0:12:22,42991.01,0.056,0.055,0.061,0.047,0.069,0.053,0.072,0.04,0.088,0.057,0.046,0.065,0.06,0.056,0.076
9/13/2017,0:32:22,42991.02,0.056,0.055,0.061,0.047,0.069,0.053,0.073,0.04,0.088,0.058,0.046,0.065,0.06,0.057,0.076
9/13/2017,0:52:22,42991.04,0.056,0.055,0.061,0.047,0.07,0.053,0.073,0.04,0.089,0.059,0.047,0.065,0.06,0.057,0.076
9/13/2017,1:12:22,42991.05,0.056,0.055,0.06,0.047,0.07,0.053,0.073,0.04,0.089,0.059,0.047,0.065,0.06,0.057,0.077
9/13/2017,1:32:22,42991.06,0.056,0.055,0.06,0.046,0.07,0.053,0.073,0.04,0.089,0.059,0.047,0.066,0.06,0.057,0.077
9/13/2017,1:52:22,42991.08,0.056,0.055,0.06,0.047,0.07,0.053,0.073,0.041,0.09,0.059,0.048,0.066,0.06,0.057,0.077
9/13/2017,2:12:22,42991.09,0.056,0.055,0.06,0.047,0.07,0.053,0.073,0.042,0.089,0.059,0.048,0.066,0.06,0.057,0.077
9/13/2017,2:32:22,42991.11,0.057,0.055,0.06,0.047,0.07,0.053,0.073,0.042,0.092,0.059,0.047,0.066,0.06,0.057,0.078
9/13/2017,2:52:22,42991.12,0.057,0.055,0.06,0.047,0.071,0.053,0.073,0.043,0.092,0.059,0.047,0.066,0.06,0.057,0.078
9/13/2017,3:12:22,42991.13,0.057,0.055,0.06,0.048,0.071,0.053,0.073,0.043,0.092,0.059,0.046,0.066,0.06,0.057,0.078
9/13/2017,3:32:22,42991.15,0.057,0.055,0.06,0.048,0.071,0.053,0.073,0.043,0.092,0.059,0.046,0.067,0.06,0.057,0.078
9/13/2017,3:52:22,42991.16,0.057,0.055,0.06,0.048,0.071,0.053,0.073,0.042,0.092,0.059,0.046,0.067,0.06,0.057,0.078
9/13/2017,4:12:22,42991.18,0.057,0.055,0.06,0.048,0.071,0.053,0.073,0.042,0.093,0.06,0.046,0.067,0.06,0.057,0.078
9/13/2017,4:32:22,42991.19,0.057,0.055,0.06,0.048,0.071,0.053,0.073,0.042,0.092,0.06,0.046,0.067,0.058,0.057,0.079
9/13/2017,4:52:22,42991.20,0.057,0.055,0.06,0.048,0.072,0.053,0.073,0.042,0.093,0.06,0.045,0.067,0.057,0.057,0.079
9/13/2017,5:12:22,42991.22,0.057,0.055,0.06,0.048,0.072,0.053,0.073,0.043,0.092,0.06,0.046,0.067,0.057,0.057,0.079
9/13/2017,5:32:22,42991.23,0.057,0.055,0.06,0.048,0.072,0.053,0.073,0.043,0.092,0.06,0.046,0.067,0.057,0.057,0.079
9/13/2017,5:52:22,42991.24,0.057,0.055,0.06,0.048,0.072,0.053,0.073,0.043,0.092,0.06,0.045,0.067,0.057,0.057,0.079
9/13/2017,6:12:22,42991.26,0.057,0.055,0.06,0.048,0.072,0.053,0.073,0.044,0.092,0.06,0.045,0.067,0.057,0.057,0.079
9/13/2017,6:32:22,42991.27,0.057,0.055,0.06,0.048,0.073,0.053,0.073,0.044,0.092,0.06,0.045,0.067,0.057,0.057,0.079
