Date,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
8/2/2017,3:12:22,0.001,0.009,0.038,0.082,0.026,0.02,0.03,0.045,0.023,0.013,0.012,0.022,0.015,0.005,0.015,0
8/2/2017,3:32:22,0.001,0.009,0.038,0.083,0.026,0.02,0.029,0.045,0.023,0.013,0.012,0.022,0.015,0.005,0.015,0
8/2/2017,3:52:22,0.001,0.009,0.038,0.083,0.026,0.021,0.029,0.045,0.023,0.013,0.012,0.023,0.015,0.005,0.015,0.001
8/2/2017,4:12:22,0.001,0.009,0.038,0.083,0.026,0.021,0.029,0.045,0.024,0.012,0.012,0.023,0.015,0.005,0.015,0
8/2/2017,4:32:22,0.001,0.009,0.038,0.084,0.026,0.021,0.029,0.046,0.024,0.012,0.012,0.023,0.016,0.005,0.015,0
8/2/2017,4:52:22,0.001,0.009,0.038,0.084,0.026,0.021,0.029,0.046,0.024,0.012,0.012,0.023,0.016,0.005,0.015,0
8/2/2017,5:12:22,0.001,0.009,0.038,0.084,0.026,0.021,0.029,0.046,0.024,0.012,0.012,0.023,0.016,0.005,0.015,0
8/2/2017,5:32:22,0.001,0.009,0.038,0.084,0.026,0.022,0.029,0.046,0.024,0.012,0.011,0.023,0.016,0.005,0.015,0
8/2/2017,5:52:22,0.001,0.009,0.038,0.084,0.026,0.022,0.029,0.046,0.024,0.012,0.011,0.023,0.016,0.005,0.015,0
8/2/2017,6:12:22,0.001,0.009,0.038,0.084,0.026,0.022,0.029,0.046,0.024,0.012,0.011,0.023,0.016,0.005,0.015,0
8/2/2017,6:32:22,0.001,0.01,0.038,0.084,0.026,0.022,0.029,0.046,0.025,0.012,0.011,0.023,0.016,0.005,0.015,0
8/2/2017,6:52:22,0.001,0.01,0.038,0.084,0.026,0.022,0.03,0.046,0.025,0.012,0.011,0.023,0.016,0.005,0.015,0
8/2/2017,7:12:22,0.001,0.01,0.038,0.084,0.026,0.023,0.03,0.046,0.026,0.011,0.011,0.023,0.017,0.005,0.015,0
8/2/2017,7:32:22,0.001,0.01,0.038,0.084,0.026,0.023,0.03,0.046,0.026,0.011,0.011,0.024,0.016,0.005,0.015,0
8/2/2017,7:52:22,0.001,0.01,0.038,0.084,0.026,0.023,0.03,0.046,0.026,0.011,0.011,0.024,0.016,0.005,0.015,0
8/2/2017,8:12:22,0.001,0.01,0.038,0.085,0.026,0.023,0.03,0.047,0.026,0.011,0.011,0.024,0.017,0.005,0.015,0
