dateTime,cycle,mfc,power_J_s
2017-09-02T02:52:22Z,4,13,1.0000000000000003e-5
2017-09-02T03:12:22Z,4,13,1.0000000000000003e-5
2017-09-02T03:32:22Z,4,13,1.0000000000000003e-5
2017-09-02T03:52:22Z,4,13,1.0000000000000003e-5
2017-09-02T04:12:22Z,4,13,1.0000000000000003e-5
2017-09-02T04:32:22Z,4,13,1.0000000000000003e-5
2017-09-02T04:52:22Z,4,13,1.0000000000000003e-5
2017-09-02T05:12:22Z,4,13,1.0000000000000003e-5
2017-09-02T05:32:22Z,4,13,1.0000000000000003e-5
2017-09-02T05:52:22Z,4,13,1.0000000000000003e-5
2017-09-02T06:12:22Z,4,13,1.0000000000000003e-5
2017-09-02T06:32:22Z,4,13,1.0000000000000003e-5
2017-09-02T06:52:22Z,4,13,1.0000000000000003e-5
2017-09-02T07:12:22Z,4,13,1.0000000000000003e-5
2017-09-02T07:32:22Z,4,13,1.0000000000000003e-5
2017-09-02T07:52:22Z,4,13,1.0000000000000003e-5
2017-09-02T08:12:22Z,4,13,1.0000000000000003e-5
2017-09-02T08:32:22Z,4,13,1.0201000000000001e-5
2017-09-02T08:52:22Z,4,13,1.0000000000000003e-5
2017-09-02T09:12:22Z,4,13,1.0000000000000003e-5
2017-09-02T09:32:22Z,4,13,1.0201000000000001e-5
2017-09-02T09:52:22Z,4,13,1.0201000000000001e-5
2017-09-02T10:12:22Z,4,13,1.0201000000000001e-5
2017-09-02T10:32:22Z,4,13,1.0201000000000001e-5
2017-09-02T10:52:22Z,4,13,1.0201000000000001e-5
2017-09-02T11:12:22Z,4,13,1.0201000000000001e-5
2017-09-02T11:32:22Z,4,13,1.0201000000000001e-5
2017-09-02T11:52:22Z,4,13,1.0201000000000001e-5
2017-09-02T12:12:22Z,4,13,1.0201000000000001e-5
2017-09-02T12:32:22Z,4,13,1.0000000000000003e-5
2017-09-02T12:52:22Z,4,13,1.0000000000000003e-5
2017-09-02T13:12:22Z,4,13,1.0000000000000003e-5
2017-09-02T13:32:22Z,4,13,1.0000000000000003e-5
2017-09-02T13:52:22Z,4,13,1.0000000000000003e-5
2017-09-02T14:12:22Z,4,13,1.0000000000000003e-5
2017-09-02T14:32:22Z,4,13,1.0000000000000003e-5
2017-09-02T14:52:22Z,4,13,1.0000000000000003e-5
2017-09-02T15:12:22Z,4,13,1.0000000000000003e-5
2017-09-02T15:32:22Z,4,13,1.0000000000000003e-5
2017-09-02T15:52:22Z,4,13,1.0000000000000003e-5
2017-09-02T16:12:22Z,4,13,1.0000000000000003e-5
2017-09-02T16:32:22Z,4,13,1.0000000000000003e-5
2017-09-02T16:52:22Z,4,13,1.0000000000000003e-5
2017-09-02T17:12:22Z,4,13,1.0000000000000003e-5
2017-09-02T17:32:22Z,4,13,1.0000000000000003e-5
2017-09-02T17:52:22Z,4,13,1.0000000000000003e-5
2017-09-02T18:12:22Z,4,13,1.0000000000000003e-5
2017-09-02T18:32:22Z,4,13,1.0000000000000003e-5
2017-09-02T18:52:22Z,4,13,1.0000000000000003e-5
2017-09-02T19:12:22Z,4,13,1.0000000000000003e-5
2017-09-02T19:32:22Z,4,13,1.0000000000000003e-5
2017-09-02T19:52:22Z,4,13,1.0000000000000003e-5
2017-09-02T20:12:22Z,4,13,9.801e-6
2017-09-02T20:32:22Z,4,13,9.801e-6
2017-09-02T20:52:22Z,4,13,9.801e-6
2017-09-02T21:12:22Z,4,13,9.801e-6
2017-09-02T21:32:22Z,4,13,9.801e-6
2017-09-02T21:52:22Z,4,13,9.801e-6
2017-09-02T22:12:22Z,4,13,9.801e-6
2017-09-02T22:32:22Z,4,13,9.801e-6
2017-09-02T22:52:22Z,4,13,9.801e-6
2017-09-02T23:12:22Z,4,13,9.801e-6
2017-09-02T23:32:22Z,4,13,9.604000000000002e-6
2017-09-02T23:52:22Z,4,13,1.0000000000000003e-5
2017-09-03T00:12:22Z,4,13,9.604000000000002e-6
2017-09-03T00:32:22Z,4,13,9.604000000000002e-6
2017-09-03T00:52:22Z,4,13,9.604000000000002e-6
2017-09-03T01:12:22Z,4,13,9.604000000000002e-6
2017-09-03T01:32:22Z,4,13,9.604000000000002e-6
2017-09-03T01:52:22Z,4,13,9.604000000000002e-6
2017-09-03T02:12:22Z,4,13,9.604000000000002e-6
2017-09-03T02:32:22Z,4,13,9.604000000000002e-6
2017-09-03T02:52:22Z,4,13,9.604000000000002e-6
2017-09-03T03:12:22Z,4,13,9.604000000000002e-6
2017-09-03T03:32:22Z,4,13,9.604000000000002e-6
2017-09-03T03:52:22Z,4,13,9.604000000000002e-6
2017-09-03T04:12:22Z,4,13,9.604000000000002e-6
2017-09-03T04:32:22Z,4,13,9.604000000000002e-6
2017-09-03T04:52:22Z,4,13,9.604000000000002e-6
2017-09-03T05:12:22Z,4,13,9.604000000000002e-6
2017-09-03T05:32:22Z,4,13,9.604000000000002e-6
2017-09-03T05:52:22Z,4,13,9.604000000000002e-6
2017-09-03T06:12:22Z,4,13,9.604000000000002e-6
2017-09-03T06:32:22Z,4,13,9.604000000000002e-6
2017-09-03T06:52:22Z,4,13,9.604000000000002e-6
2017-09-03T07:12:22Z,4,13,9.604000000000002e-6
2017-09-03T07:32:22Z,4,13,9.604000000000002e-6
2017-09-03T07:52:22Z,4,13,9.604000000000002e-6
2017-09-03T08:12:22Z,4,13,9.604000000000002e-6
2017-09-03T08:32:22Z,4,13,9.604000000000002e-6
2017-09-03T08:52:22Z,4,13,9.604000000000002e-6
2017-09-03T09:12:22Z,4,13,9.604000000000002e-6
2017-09-03T09:32:22Z,4,13,9.604000000000002e-6
2017-09-03T09:52:22Z,4,13,9.604000000000002e-6
2017-09-03T10:12:22Z,4,13,9.604000000000002e-6
